PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4005;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S8A1;P5222S9;P5222S10;P5222S11;P6008
20250939;09;2025;8345569;1;1;01;;2;26.598435838;08;1;5;1;1;0;2;2;2;;2;1;1;1;6;;4;6;5;5;4;;;;100000;;;;;;;;;;;1;;;2
20250939;09;2025;8345570;1;1;01;;2;54.026350027;08;1;7;1;1;0;2;2;2;;2;1;3;2;6;;4;6;5;5;4;;;;200000;;;;;;;;;;;1;;;4
20250939;09;2025;8345571;1;1;01;;2;43.734934091;08;1;5;1;1;0;2;2;2;;2;1;1;1;6;;4;6;5;5;4;;;;200000;;;;;;;;;;;;;1;5
20250939;09;2025;8345572;1;1;01;;2;59.537622272;08;1;7;1;1;0;2;2;2;;2;1;2;1;6;;4;6;5;5;4;;;;100000;;;;;;;;;;;1;;;3
20250939;09;2025;8345573;1;1;01;;2;55.894034289;08;1;5;1;1;0;2;2;2;;2;1;2;1;6;;4;6;5;5;4;;;;100000;;;1;;;;;;;;;;;2
20250939;09;2025;8345574;1;1;01;;2;44.714791435;08;1;8;1;1;0;2;2;2;;2;1;1;1;6;;4;6;5;5;3;;;;;17000;;;;;;;;;;1;;;2
20250939;09;2025;8345575;1;1;01;;2;55.894034289;08;1;7;1;1;0;2;2;2;;2;1;2;1;6;;4;6;5;5;4;;;;100000;;;;;;;;;;;1;;;2
20250939;09;2025;8345576;1;1;01;;2;48.86510842;08;1;5;1;1;0;2;2;2;;2;1;1;1;6;;4;6;6;;4;;;;150000;;;1;;;;;;;;;;1;2
20250939;09;2025;8345577;1;1;01;;2;71.459708183;08;1;8;1;1;0;2;2;2;;2;1;2;1;6;;4;6;5;5;3;;;;;17000;;;;;;;;;;1;;;5
20250939;09;2025;8345578;1;1;01;;2;480.7457124;70;1;4;1;1;1;2;2;2;;2;1;3;2;6;;4;8;5;5;1;;;20000000;100000;;;;;;;;;;;;;1;5
20250939;09;2025;8345579;1;1;01;;2;412.11814041;70;1;4;1;1;1;2;2;2;;2;1;2;1;6;;4;8;5;5;1;;;35000000;150000;;;;;;;;;;;;;1;7
20250939;09;2025;8345580;1;1;01;;2;238.50505248;70;1;1;1;1;1;2;2;2;;2;1;3;2;2;1;4;8;5;4;4;;;;200000;;;;;;;;;;;;;1;4
20250939;09;2025;8345581;1;1;01;;2;595.1097507;70;1;1;1;1;1;2;2;2;;2;1;3;3;2;1;4;8;5;5;4;;;;200000;;;;;;;;;;;;;1;8
20250939;09;2025;8345582;1;1;01;;2;317.8308735;70;1;1;2;1;1;2;2;2;;2;1;3;2;2;1;4;8;1;4;1;;;45000000;230000;;;1;;;;;;;;;;1;6
20250939;09;2025;8345583;1;1;01;;2;261.77813791;70;1;1;1;1;1;2;2;2;;2;1;2;1;2;1;4;8;5;5;4;;;;300000;;;;;;;;;;;;;1;3
20250939;09;2025;8345584;1;1;01;;2;479.56212392;70;1;1;2;1;1;2;2;2;;2;1;3;1;2;1;4;8;1;4;3;;;;;200000;;1;;;;;;;;;;;2
20250939;09;2025;8345585;1;1;01;;2;479.56212392;70;1;1;2;1;1;2;2;2;;2;1;2;1;2;1;4;8;1;4;4;;;;150000;;;;;;;;;;;;;1;2
20250939;09;2025;8345586;1;1;01;;2;285.26583652;70;1;1;2;1;1;2;2;2;;2;1;3;1;2;1;4;8;5;5;1;;;80000000;400000;;;1;;;;;;;;;;;2
20250939;09;2025;8345587;1;1;01;;2;390.98305807;70;1;4;1;1;1;2;2;2;;2;1;2;1;2;1;4;8;4;4;5;;;;200000;;;;;;;;;;;;;1;5
20250939;09;2025;8345588;1;1;01;;2;329.58110287;70;1;7;1;1;1;2;2;2;;2;1;4;3;2;1;4;8;1;5;5;;;;100000;;;1;;;;;;;;;;;7
20250939;09;2025;8345589;1;1;01;;2;483.98574975;70;1;1;1;1;1;2;2;2;;2;1;3;2;6;;4;8;1;4;4;;;;200000;;;;;;;;;;;;;1;4
20250939;09;2025;8345590;1;1;01;;2;275.71455417;70;1;4;1;1;1;2;2;2;;2;1;3;2;2;1;4;8;4;4;4;;;;200000;;;;;;;;;;;1;;;4
20250939;09;2025;8345591;1;1;01;;2;418.40911083;70;1;1;1;1;1;2;2;2;;2;1;4;3;2;1;4;8;5;5;1;;;40000000;250000;;;;;;;;;;;;;1;7
20250939;09;2025;8345592;1;1;01;;2;377.33320872;70;1;4;1;1;1;2;2;2;;2;1;3;2;2;1;4;8;4;1;4;;;;200000;;;;;;;;;;;1;;;2
20250939;09;2025;8345593;1;1;01;;2;296.1594443;70;1;8;1;1;1;2;2;2;;2;1;1;1;6;;4;8;1;5;5;;;;50000;;;;;;;;;;;1;;;2
20250939;09;2025;8345594;1;1;01;;2;417.69447659;70;1;1;1;1;1;2;2;2;;2;1;3;2;2;1;4;8;1;5;1;;;30000000;200000;;;;;;;;;;;;;1;5
20250939;09;2025;8345595;1;1;01;;2;445.80925459;70;1;1;2;1;1;2;2;2;;2;1;1;1;6;;4;8;1;4;4;;;;100000;;;;;;;;;;;1;;;2
20250939;09;2025;8345596;1;1;01;;2;293.8266174;70;1;1;2;1;1;2;2;2;;2;1;3;2;2;1;4;8;4;5;1;;;20000000;200000;;;;;;;;;;;1;;;3
20250939;09;2025;8345597;1;1;01;;1;412.91038798;70;1;1;4;1;2;1;1;1;3;1;1;5;2;1;1;1;1;1;3;1;;;90000000;600000;;;;;;;;;;;;;1;3
20250939;09;2025;8345598;1;1;01;;1;709.09236235;70;1;1;4;1;2;1;1;1;3;1;1;5;2;1;1;1;1;1;3;4;;;;600000;;;;;;;;;;;;;1;2
20250939;09;2025;8345599;1;1;01;;1;280.05484474;70;1;1;4;1;2;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;85000000;500000;;;1;;;;;;;;;;1;3
20250939;09;2025;8345600;1;1;01;;1;1228.1701326;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;30000000;250000;;;;;;;;;;;1;;;5
20250939;09;2025;8345601;1;1;01;;1;1666.0994318;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;4;;;;200000;;;;;;;;;;;1;;;2
20250939;09;2025;8345602;1;1;01;;1;259.62811854;70;1;1;2;1;2;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;70000000;400000;;;;;;;;;;;;;1;4
20250939;09;2025;8345603;1;1;01;;1;489.26798745;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;1;4
20250939;09;2025;8345604;1;1;01;;1;1241.5892011;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;45000000;200000;;;;;;;;;;;;;1;4
20250939;09;2025;8345605;1;1;01;;1;355.9337291;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;90000000;450000;;;1;;;;;;;;;;;6
20250939;09;2025;8345606;1;1;01;;1;361.28367453;70;1;1;4;1;2;1;1;1;3;1;1;4;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;;3
20250939;09;2025;8345607;1;1;01;;1;769.3160591;70;1;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;25000000;300000;;;;;;;;;;;;;1;3
20250939;09;2025;8345608;1;1;01;;1;658.36413437;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;550000;;1;;;;;;;;;;;4
20250939;09;2025;8345609;1;1;01;;1;1502.3430041;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;4;;;;150000;;;;;;;;;;;1;;;3
20250939;09;2025;8345610;1;1;01;;1;1252.1554044;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;25000000;200000;;;;;;;;;;;1;;;4
20250939;09;2025;8345611;1;1;01;;1;499.87921965;70;1;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;4;;;;600000;;;1;;;;;;;;;;;1
20250939;09;2025;8345612;1;1;01;;1;1102.465867;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;3;;;;;150000;;;;;;;;;;;;1;4
20250939;09;2025;8345613;1;1;01;;1;331.20284308;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;6;;;;600000;;;;;;;;;;;;;1;5
20250939;09;2025;8345614;1;1;01;;1;1330.0431044;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;4;;;;200000;;;;;;;;;;;;;1;6
20250939;09;2025;8345615;1;1;01;;1;708.81305055;70;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;4;;;;650000;;;1;;;;;;;;;;;5
20250939;09;2025;8345616;1;1;01;;1;1296.185595;70;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;3;1;;;27000000;150000;;;;;;;;;;;;;1;4
20250939;09;2025;8345617;1;1;01;;2;1025.6868255;70;1;1;2;1;1;2;2;2;;2;1;3;1;2;1;4;4;5;1;4;;;;150000;;;;;;;;;;;1;;;1
20250939;09;2025;8345618;1;1;01;;2;903.62141216;70;1;1;2;1;9;2;2;2;;2;1;1;1;6;;4;4;5;5;1;;;20000000;200000;;;;;;;;;;;;;1;2
20250939;09;2025;8345619;1;1;01;;2;1025.6868255;70;1;1;2;1;1;2;2;2;;2;1;2;1;2;1;4;3;5;5;4;;;;70000;;;;;;;;;;;1;;;1
20250939;09;2025;8345620;1;1;01;;2;729.20982515;70;1;1;2;1;1;2;2;2;;2;1;3;2;2;1;4;4;5;5;4;;;;100000;;;1;;;;1;;;;;;1;2
20250939;09;2025;8345621;1;1;01;;2;1374.3162024;70;1;1;1;1;1;2;2;2;;2;1;3;2;2;1;4;3;5;5;4;;;;100000;;;;;;;;;;;1;;;5
20250939;09;2025;8345622;1;1;01;;2;1025.6868255;70;1;1;1;1;1;2;2;2;;2;1;3;2;2;1;4;4;5;5;1;;;40000000;150000;;;;;;;;;;;;;1;1
20250939;09;2025;8345623;1;1;01;;2;1025.6868255;70;1;1;1;1;9;2;2;2;;2;1;1;1;6;;3;9;5;5;1;;;15000000;50000;;;;;;;;;;;1;;;1
20250939;09;2025;8345624;1;1;01;;2;1225.8790495;70;1;1;1;1;9;2;2;2;;2;1;2;1;6;;4;4;5;5;4;;;;200000;;;1;;;;1;;;;;;;2
20250939;09;2025;8345625;1;1;01;;1;1017.3667436;70;1;5;1;1;0;2;2;2;;1;1;3;2;6;;4;1;5;5;3;;;;;30000;;;;;;;;;;1;;;5
20250939;09;2025;8345626;1;1;01;;1;1000.6348208;70;1;5;1;1;0;2;2;2;;1;1;2;1;2;1;4;1;1;5;4;;;;50000;;;;;;;;;;;1;;;5
20250939;09;2025;8345628;1;1;01;;1;700.60404122;70;1;5;1;1;0;2;2;2;;1;1;2;1;6;;4;1;6;;5;;;;50000;;;;;;;;;;;1;;;1
20250939;09;2025;8345629;1;1;01;;1;1171.9176503;70;1;1;1;1;0;2;2;2;;1;1;3;1;2;1;4;1;1;4;4;;;;80000;;;;;;;;;;;1;;;2
20250939;09;2025;8345630;1;1;01;;1;954.29377371;70;1;4;1;1;0;2;2;2;;1;1;2;2;3;1;4;1;5;5;6;;;;50000;;;;;;;;;;;;;1;5
20250939;09;2025;8345631;1;1;01;;1;1009.0007822;70;1;4;1;1;0;2;2;2;;1;1;3;2;6;;3;1;5;5;3;;;;;60000;;;;;;;;;;;;1;5
20250939;09;2025;8345632;1;1;01;;1;1054.2532225;70;1;7;1;1;0;2;2;2;;1;1;2;1;6;;4;1;1;5;4;;;;50000;;;;;;;;;;;1;;;3
20250939;09;2025;8345633;1;1;01;;1;363.27616952;70;1;1;4;1;1;1;1;1;2;1;1;4;1;1;1;1;10;1;3;1;;;150000000;400000;;;;;;;;;;;1;;;1
20250939;09;2025;8345634;1;1;01;;1;443.49329284;70;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;10;1;3;5;;;;700000;;;1;;;;;;;;;;1;3
20250939;09;2025;8345635;1;1;01;;1;456.70695283;70;1;1;4;1;1;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;84000000;500000;;;1;;;;;;;;;;;3
20250939;09;2025;8345636;1;1;01;;1;258.83999928;70;1;1;4;1;1;1;1;1;2;1;1;4;3;1;1;1;10;1;3;4;;;;400000;;;1;;;;;;;;;;1;3
20250939;09;2025;8345637;1;1;01;;1;461.48802192;70;1;1;4;1;1;1;1;1;2;1;1;5;2;1;1;1;10;1;3;1;;;400000000;1000000;;;1;;;;;;;;;;1;4
20250939;09;2025;8345638;1;1;01;;1;363.27616952;70;1;1;2;1;1;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;80000000;600000;;;;;;;;;;;1;;;1
20250939;09;2025;8345639;1;1;01;;1;599.37245182;70;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;;;;1;3
20250939;09;2025;8345640;1;1;01;;1;311.0580844;70;2;1;4;1;1;1;1;1;2;1;1;4;2;1;1;1;10;1;3;1;;;200000000;400000;;;1;;;;;;;;;;;2
20250939;09;2025;8345641;1;1;01;;2;823.49964875;70;1;1;2;1;1;2;2;2;;1;1;4;3;2;1;4;1;5;5;1;;;15000000;150000;;;;;;;;;;;1;;;4
20250939;09;2025;8345642;1;1;01;;2;743.21659788;70;1;1;2;1;1;2;2;2;;1;1;3;2;2;1;4;1;5;5;1;;;10000000;100000;;;;;;;;;;;1;;;3
20250939;09;2025;8345643;1;1;01;;2;767.85651332;70;1;1;2;1;1;2;2;2;;1;1;3;1;2;1;2;1;1;4;1;;;30000000;250000;;;;;;;;;;;1;;;1
20250939;09;2025;8345644;1;1;01;;2;545.90592362;70;1;1;4;1;1;2;2;2;;1;1;5;2;2;1;3;1;1;4;4;;;;400000;;;1;;;;;;;;;;1;2
20250939;09;2025;8345645;1;1;01;;2;822.83422452;70;1;1;2;1;1;2;2;2;;1;1;3;2;2;1;4;1;5;5;5;;;;100000;;;;;;;;;;;;;1;4
20250939;09;2025;8345646;1;1;01;;2;780.95620928;70;1;1;2;1;1;2;2;2;;1;1;3;2;2;1;3;1;5;5;1;;;12000000;60000;;;;;;;;;;;;;1;3
20250939;09;2025;8345647;1;1;01;;2;864.50987825;70;1;1;2;1;1;2;2;2;;1;1;4;3;6;;4;1;5;1;4;;;;100000;;;;;;;;;;;;;1;5
20250939;09;2025;8345648;1;1;01;;2;1263.6605639;70;1;7;1;1;1;2;2;2;;1;1;3;2;2;1;4;1;1;5;1;;;25000000;150000;;;;;;;;;;;1;;;8
20250939;09;2025;8345649;1;1;01;;2;866.94165598;70;1;4;1;1;1;2;2;2;;1;1;3;2;6;;3;1;5;5;4;;;;30000;;;;;;;;;;;1;;;4
20250939;09;2025;8345650;1;1;01;;2;1074.0360291;70;1;5;1;1;1;2;2;2;;2;1;3;1;2;1;4;5;1;5;4;;;;100000;;;;;;;;;;;1;;;4
20250939;09;2025;8345651;1;1;01;;2;825.95317632;70;1;5;1;1;0;2;2;2;;2;1;3;1;2;1;4;5;5;5;5;;;;80000;;;;;;;;;;;1;;;2
20250939;09;2025;8345652;1;1;01;;2;614.40791922;70;1;5;1;1;1;2;2;2;;2;1;2;1;2;1;4;5;5;5;4;;;;50000;;;;;;;;;;;1;;;1
20250939;09;2025;8345653;1;1;01;;2;583.1092184;70;1;5;1;1;1;2;2;2;;2;1;3;2;6;;4;5;1;5;1;;;15000000;50000;;;;;;;;;;;1;;;3
20250939;09;2025;8345654;1;1;01;;2;929.05904226;70;1;1;1;1;0;2;2;2;;2;1;4;3;2;1;4;5;5;5;5;;;;100000;;;;;;;;;;;;;1;7
20250939;09;2025;8345655;1;1;01;;2;622.0267607;70;1;5;1;1;0;2;2;2;;2;1;3;2;6;;4;5;5;1;4;;;;50000;;;;;;;;;;;;;1;3
20250939;09;2025;8345656;1;1;01;;2;691.07086199;70;1;4;1;1;1;2;2;2;;2;1;2;1;6;;4;5;5;5;5;;;;50000;;;;;;;;;;;1;;;1
20250939;09;2025;8345657;1;1;01;;2;874.52806276;70;1;5;1;1;1;2;2;2;;2;1;4;3;2;1;4;3;1;5;1;;;22000000;80000;;;;;;;;;;;1;;;7
20250939;09;2025;8345658;1;1;01;;2;769.53499531;70;1;5;1;1;1;2;2;2;;2;1;4;3;2;1;4;5;5;5;4;;;;300000;;;;;;;;;;;1;;;5
20250939;09;2025;8345659;1;1;01;;2;859.2903798;70;1;5;1;1;1;2;2;2;;2;1;3;2;2;1;4;5;1;5;4;;;;100000;;;;;;;;;;;1;;;3
