PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250939;09;2025;8345569;1;2;1;70;;2;26.598435838;08;1;;;;;;;;;1;;240;0;3;8;10;2;2;;2;;.;9112;85;8530
20250939;09;2025;8345570;1;1;1;70;;2;54.026350027;08;1;;;;;;;;;1;;60;2;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345572;1;2;1;70;;2;59.537622272;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345573;1;2;1;70;;2;55.894034289;08;1;;;;;;;;;1;;18;2;3;1;6;2;2;;2;;.;5321;86;8621
20250939;09;2025;8345574;1;1;1;70;;2;44.714791435;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345575;1;2;1;70;;2;55.894034289;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345577;1;2;1;70;;2;71.459708183;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345577;1;3;1;70;;2;71.459708183;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345577;1;4;1;70;;2;71.459708183;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345577;1;5;1;70;;2;71.459708183;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345578;1;3;1;70;;2;480.7457124;70;;1;52;3;;;;48;700000;1;;60;0;3;3;1;2;2;;2;;9111;9111;97;9700
20250939;09;2025;8345579;1;1;1;70;;2;412.11814041;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345579;1;2;1;70;;2;412.11814041;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345579;1;3;1;70;;2;412.11814041;70;;1;20;1;;;;48;1423500;2;;;;;;;;2;;2;;5321;;;
20250939;09;2025;8345579;1;4;1;70;;2;412.11814041;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345580;1;2;1;70;;2;238.50505248;70;1;;;;;;;;;1;;36;0;4;4;1;2;2;;2;;.;6111;01;0113
20250939;09;2025;8345580;1;3;1;70;;2;238.50505248;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345580;1;4;1;70;;2;238.50505248;70;1;;;;;;;;;1;;12;0;4;4;2;2;2;;2;;.;9313;41;4111
20250939;09;2025;8345581;1;2;1;70;;2;595.1097507;70;1;;;;;;;;;1;;120;0;8;1;7;2;2;;2;;.;5120;56;5629
20250939;09;2025;8345581;1;3;1;70;;2;595.1097507;70;1;;;;;;;;;2;;;;;;;;1;2;2;;.;.;;.
20250939;09;2025;8345581;1;4;1;70;;2;595.1097507;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345581;1;7;1;70;;2;595.1097507;70;;1;3;1;;;;44;1423500;1;;3;0;8;1;7;2;2;;2;;5223;5223;47;4723
20250939;09;2025;8345581;1;8;1;70;;2;595.1097507;70;;1;3;1;;;;48;1423500;2;;;;;;;;2;;2;;5321;;;
20250939;09;2025;8345583;1;2;1;70;;2;261.77813791;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345583;1;3;1;70;;2;261.77813791;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345584;1;2;1;70;;2;479.56212392;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345586;1;1;1;70;;2;285.26583652;70;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;5223;47;4772
20250939;09;2025;8345586;1;2;1;70;;2;285.26583652;70;1;;;;;;;;;1;;240;0;4;4;1;2;2;;2;;.;7531;14;1410
20250939;09;2025;8345587;1;1;1;70;;2;390.98305807;70;1;;;;;;;;;1;;24;0;8;1;4;2;2;;2;;.;5246;56;5613
20250939;09;2025;8345587;1;4;1;70;;2;390.98305807;70;;1;12;1;;;;40;2000000;2;;;;;;;;2;;2;;2330;;;
20250939;09;2025;8345588;1;1;1;70;;2;329.58110287;70;1;;;;;2;5;;800000;1;;96;0;4;1;7;2;2;;2;;.;5245;47;4731
20250939;09;2025;8345588;1;7;1;70;;2;329.58110287;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345589;1;1;1;70;;2;483.98574975;70;;1;5;3;;;;48;400000;1;;60;0;3;3;1;2;2;;2;;9111;9111;97;9700
20250939;09;2025;8345590;1;1;1;70;;2;275.71455417;70;1;;;;;;;;;1;;36;0;8;1;9;2;2;;2;;.;9412;84;8413
20250939;09;2025;8345590;1;4;1;70;;2;275.71455417;70;1;;;;;;;;;1;;60;0;4;4;1;2;2;;2;;.;9111;81;8121
20250939;09;2025;8345591;1;4;1;70;;2;418.40911083;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345592;1;1;1;70;;2;377.33320872;70;1;;;;;;;;;1;;24;0;4;4;1;2;2;;2;;.;6111;01;0113
20250939;09;2025;8345593;1;2;1;70;;2;296.1594443;70;1;;;;;;;;;1;;300;0;4;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345594;1;1;1;70;;2;417.69447659;70;1;;;;;1;;30;700000;1;;240;0;6;4;1;2;2;;2;;.;5212;56;5619
20250939;09;2025;8345594;1;3;1;70;;2;417.69447659;70;;1;5;1;;;;48;1423500;2;;;;;;;;2;;2;;5120;;;
20250939;09;2025;8345594;1;4;1;70;;2;417.69447659;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345595;1;2;1;70;;2;445.80925459;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345596;1;1;1;70;;2;293.8266174;70;1;;;;;2;5;;900000;1;;4;0;4;4;1;2;2;;2;;.;6111;01;0113
20250939;09;2025;8345596;1;2;1;70;;2;293.8266174;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345597;1;2;1;70;;1;412.91038798;70;1;;;;;;;;;1;;192;0;3;1;9;2;2;;2;;.;9112;64;6412
20250939;09;2025;8345599;1;2;1;70;;1;280.05484474;70;1;;;;;;;;;1;;264;0;5;1;10;2;3;;2;;.;9112;23;2394
20250939;09;2025;8345600;1;1;1;70;;1;1228.1701326;70;1;;;;;;;;;1;;24;0;4;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345600;1;3;1;70;;1;1228.1701326;70;;1;3;4;;;;20;400000;1;;1;2;8;1;2;2;2;;1;380000;6122;6122;01;0145
20250939;09;2025;8345601;1;2;1;70;;1;1666.0994318;70;1;;;;;1;;40;800000;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345602;1;2;1;70;;1;259.62811854;70;;1;24;1;;;;50;800000;1;;8;0;8;1;3;2;2;;2;;5131;9412;56;5612
20250939;09;2025;8345602;1;4;1;70;;1;259.62811854;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345603;1;1;1;70;;1;489.26798745;70;1;;;;;;;;;1;;36;0;5;1;9;2;3;;2;;.;8350;50;5012
20250939;09;2025;8345603;1;2;1;70;;1;489.26798745;70;1;;;;;;;;;1;;9;0;4;4;1;2;2;;2;;.;5221;47;4772
20250939;09;2025;8345604;1;2;1;70;;1;1241.5892011;70;1;;;;;;;;;1;;4;0;6;4;1;2;2;;2;;.;5223;61;6190
20250939;09;2025;8345606;1;3;1;70;;1;361.28367453;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345607;1;1;1;70;;1;769.3160591;70;;1;10;4;;;;30;700000;1;;3;0;4;4;1;2;2;;2;;6111;6111;01;0161
20250939;09;2025;8345607;1;2;1;70;;1;769.3160591;70;1;;;;;;;;;1;;7;0;3;4;1;2;2;;2;;.;5120;56;5611
20250939;09;2025;8345608;1;2;1;70;;1;658.36413437;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345608;1;3;1;70;;1;658.36413437;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345613;1;1;1;70;;1;331.20284308;70;1;;;;;;;;;1;;24;0;3;1;9;2;2;;2;;.;2263;42;4290
20250939;09;2025;8345613;1;4;1;70;;1;331.20284308;70;1;;;;;;;;;1;;120;0;4;1;6;2;2;;2;;.;1431;92;9200
20250939;09;2025;8345615;1;3;1;70;;1;708.81305055;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345616;1;1;1;70;;1;1296.185595;70;;1;2;4;;;;28;300000;1;;2;0;8;4;1;2;2;;2;;9111;9111;81;8121
20250939;09;2025;8345616;1;3;1;70;;1;1296.185595;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345618;1;2;1;70;;2;903.62141216;70;1;;;;;;;;;1;;36;0;3;4;1;2;2;;2;;.;9111;81;8121
20250939;09;2025;8345620;1;2;1;70;;2;729.20982515;70;1;;;;;;;;;1;;8;0;7;4;1;2;1;2;2;;.;7531;14;1410
20250939;09;2025;8345621;1;2;1;70;;2;1374.3162024;70;1;;;;;;;;;1;;180;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345622;1;1;1;70;;2;1025.6868255;70;1;;;;;;;;;1;;180;0;4;4;1;2;2;;2;;.;6111;01;0113
20250939;09;2025;8345624;1;1;1;70;;2;1225.8790495;70;;1;12;2;;;;40;1423500;1;;24;0;8;2;10;2;2;;2;;9112;9112;84;8412
20250939;09;2025;8345624;1;2;1;70;;2;1225.8790495;70;;1;4;7;;;;48;900000;1;;3;0;8;7;3;2;2;;2;;9212;9212;01;0141
20250939;09;2025;8345625;1;2;1;70;;1;1017.3667436;70;1;;;;;;;;;1;;180;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345626;1;1;1;70;;1;1000.6348208;70;1;;;;;;;;;1;;72;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345629;1;1;1;70;;1;1171.9176503;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345631;1;1;1;70;;1;1009.0007822;70;1;;;;;;;;;1;;3;0;6;4;1;2;2;;2;;.;5142;96;9602
20250939;09;2025;8345633;1;1;1;70;;1;363.27616952;70;1;;;;;2;5;;1000000;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345635;1;2;1;70;;1;456.70695283;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345635;1;3;1;70;;1;456.70695283;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345636;1;1;1;70;;1;258.83999928;70;1;;;;;;;;;1;;144;0;5;2;10;2;3;;2;;.;2330;85;8530
20250939;09;2025;8345636;1;2;1;70;;1;258.83999928;70;1;;;;;;;;;1;;2;0;4;4;1;2;2;;2;;.;7341;16;1690
20250939;09;2025;8345636;1;3;1;70;;1;258.83999928;70;;1;16;1;;;;48;1423500;1;;8;0;6;4;1;2;2;;2;;5223;5223;92;9200
20250939;09;2025;8345637;1;1;1;70;;1;461.48802192;70;1;;;;;;;;;1;;80;0;5;2;10;2;3;;2;;.;2341;85;8530
20250939;09;2025;8345637;1;3;1;70;;1;461.48802192;70;;1;2;1;;;;48;2500000;1;;8;0;1;2;10;2;2;;2;;2634;2634;84;8413
20250939;09;2025;8345638;1;1;1;70;;1;363.27616952;70;1;;;;;;;;;1;;240;0;4;2;10;2;2;;2;;.;9112;86;8610
20250939;09;2025;8345640;1;1;1;70;;1;311.0580844;70;1;;;;;;;;;1;;12;0;4;4;1;2;2;;2;;.;5414;96;9602
20250939;09;2025;8345640;1;2;1;70;;1;311.0580844;70;1;;;;;;;;;1;;86;0;4;4;1;2;2;;2;;.;8331;49;4921
20250939;09;2025;8345641;1;2;1;70;;2;823.49964875;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345644;1;1;1;70;;2;545.90592362;70;1;;;;;;;;;1;;36;0;5;2;10;2;3;;2;;.;2351;85;8530
20250939;09;2025;8345644;1;2;1;70;;2;545.90592362;70;1;;;;;;;;;1;;8;0;7;4;1;2;2;;2;;.;6111;01;0113
20250939;09;2025;8345645;1;2;1;70;;2;822.83422452;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345646;1;1;1;70;;2;780.95620928;70;1;;;;;1;;30;400000;1;;108;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345647;1;1;1;70;;2;864.50987825;70;1;;;;;;;;;1;;5;0;4;4;1;2;2;;2;;.;5211;47;4781
20250939;09;2025;8345647;1;3;1;70;;2;864.50987825;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345647;1;5;1;70;;2;864.50987825;70;1;;;;;;;;;1;;360;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345648;1;1;1;70;;2;1263.6605639;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345649;1;2;1;70;;2;866.94165598;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345650;1;1;1;70;;2;1074.0360291;70;1;;;;;;;;;1;;24;0;3;1;3;2;2;;2;;.;5131;56;5611
20250939;09;2025;8345651;1;2;1;70;;2;825.95317632;70;1;;;;;;;;;1;;120;0;3;1;2;2;2;;2;;.;5223;47;4711
20250939;09;2025;8345652;1;1;1;70;;2;614.40791922;70;1;;;;;1;;48;600000;1;;1;0;7;4;1;2;2;;2;;.;5223;47;4724
20250939;09;2025;8345653;1;2;1;70;;2;583.1092184;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345654;1;2;1;70;;2;929.05904226;70;1;;;;;;;;;1;;132;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345654;1;3;1;70;;2;929.05904226;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345654;1;4;1;70;;2;929.05904226;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345654;1;5;1;70;;2;929.05904226;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345657;1;1;1;70;;2;874.52806276;70;1;;;;;;;;;1;;36;0;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345659;1;2;1;70;;2;859.2903798;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345661;1;1;1;70;;2;503.42745138;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345661;1;3;1;70;;2;503.42745138;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345662;1;2;1;70;;2;301.97845287;54;1;;;;;;;;;1;;24;0;3;1;5;2;2;;2;;.;5223;46;4664
20250939;09;2025;8345664;1;2;1;70;;2;554.46194396;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345665;1;1;1;70;;2;211.58606121;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345666;1;1;1;70;;2;494.48919924;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345668;1;1;1;70;;2;251.3228776;54;1;;;;;;;;;1;;60;0;4;4;1;2;2;;2;;.;9213;01;0161
20250939;09;2025;8345668;1;2;1;70;;2;251.3228776;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345672;1;1;1;70;;2;289.02153892;54;1;;;;;;;;;1;;216;1;3;3;1;2;2;;2;;.;9111;97;9700
20250939;09;2025;8345673;1;1;1;70;;2;352.90022955;54;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250939;09;2025;8345673;1;2;1;70;;2;352.90022955;54;;1;2;4;;;;40;800000;1;;0;2;8;4;1;2;2;;1;320000;7544;7544;01;0112
