PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260105;01;2026;8473909;1;3;1;70;;2;41.338482381;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473909;1;4;1;70;;2;41.338482381;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473913;1;1;1;70;;2;31.92086389;08;1;;;;;;;;;1;36;1;5;1;7;2;3;;2;;.;8332;49;4923
20260105;01;2026;8473915;1;1;1;70;;2;16.588871792;08;1;;;;;2;5;;500000;1;240;1;7;1;5;2;2;;2;;.;5223;47;4719
20260105;01;2026;8473916;1;1;1;70;;2;44.029436642;08;1;;;;;;;;;1;12;0;3;3;1;2;2;;2;;.;9111;97;9700
20260105;01;2026;8473917;1;2;1;70;;2;39.617379504;08;;1;52;1;;;;40;1500000;1;12;2;8;1;4;2;2;;2;;5230;5223;47;4771
20260105;01;2026;8473918;1;3;1;70;;2;41.649448272;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473920;1;1;1;70;;2;1489.3788676;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473920;1;3;1;70;;2;1489.3788676;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473922;1;2;1;70;;2;1508.7060117;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473923;1;3;1;70;;2;1959.7437063;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473924;1;2;1;70;;2;1871.4755041;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473925;1;1;1;70;;2;1529.2349175;13;1;;;;;;;;;1;24;0;3;1;10;2;2;;2;;.;9112;52;5222
20260105;01;2026;8473926;1;2;1;70;;2;1679.826305;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473927;1;1;1;70;;2;1679.826305;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473927;1;2;1;70;;2;1679.826305;13;1;;;;;;;;;1;48;0;4;4;1;2;2;;2;;.;8321;49;4921
20260105;01;2026;8473929;1;1;1;70;;2;1360.0528537;13;;1;8;4;;;;48;1400000;1;6;0;8;4;4;2;2;;2;;9412;9412;56;5611
20260105;01;2026;8473929;1;2;1;70;;2;1360.0528537;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473930;1;2;1;70;;2;1608.0115368;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473931;1;2;1;70;;2;2200.8816697;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473931;1;3;1;70;;2;2200.8816697;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473933;1;2;1;70;;2;798.68143615;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473934;1;3;1;70;;2;2087.1625732;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473934;1;4;1;70;;2;2087.1625732;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473935;1;1;1;70;;2;792.63896226;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473935;1;3;1;70;;2;792.63896226;13;1;;;;;;;;;1;208;0;4;4;2;2;2;;2;;.;5120;56;5629
20260105;01;2026;8473935;2;2;2;70;;2;792.63896226;13;;1;4;4;;;;60;1600000;1;2;1;8;4;2;2;2;;2;;9313;9313;41;4111
20260105;01;2026;8473935;2;3;2;70;;2;792.63896226;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473937;1;2;1;70;;2;1887.9618928;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473940;1;1;1;70;;1;267.99773627;44;1;;;;;1;;24;240000;1;24;0;3;1;4;2;2;;2;;.;9412;56;5611
20260105;01;2026;8473941;1;2;1;70;;1;342.02075872;44;1;;;;;1;;20;600000;1;132;0;3;3;1;2;2;;2;;.;9111;97;9700
20260105;01;2026;8473944;1;2;1;70;;1;252.61699127;44;1;;;;;1;;40;800000;1;12;0;8;4;1;2;2;;2;;.;9313;41;4111
20260105;01;2026;8473944;1;3;1;70;;1;252.61699127;44;1;;;;;;;;;1;2;0;8;6;2;2;2;;2;;.;5223;47;4723
20260105;01;2026;8473945;1;1;1;70;;1;181.19067012;44;1;;;;;1;;40;500000;1;3;0;8;3;1;2;2;;2;;.;9111;97;9700
20260105;01;2026;8473947;1;1;1;70;;1;350.41491476;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260105;01;2026;8473948;1;2;1;70;;1;294.36269306;44;1;;;;;1;;40;1700000;1;108;0;8;4;6;2;2;;2;;.;5321;87;8730
20260105;01;2026;8473954;1;1;1;70;;1;280.3096374;44;;1;6;4;;;;48;2000000;1;8;0;8;4;10;2;2;;2;;5414;5414;85;8530
20260105;01;2026;8473955;1;1;1;70;;1;338.75679264;44;1;;;;;;;;;1;24;2;5;2;10;2;3;;2;;.;9112;86;8610
20260105;01;2026;8473955;1;2;1;70;;1;338.75679264;44;;1;1;1;;;;48;2000000;1;0;2;8;1;9;2;1;1;1;3000000;3123;3123;43;4321
20260105;01;2026;8473956;1;1;1;70;;1;216.88127638;44;1;;;;;;;;;1;252;0;8;2;10;2;2;;2;;.;4321;84;8412
