PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P3363S1;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3560;P3561;P3067;P3067S1;P3067S2;P6775;P3068;P3562;P3563;P6750;P3073;P550;P6780;P6780S1;P1879;P1879S1;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8;P6426
20260105;01;2026;8473909;1;1;1;60;;2;41.338482381;08;1;4792;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;100000;1;1200000;3;;3;;2;12;28;2;;28;;;1;5;;2;;2;;;;2;2;1;0;24;4;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;20;3;;1;100000;47;4792;3322;60
20260105;01;2026;8473909;1;2;1;60;;2;41.338482381;08;1;9522;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;2000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1900000;1;22700000;3;;1;;1;12;40;;;40;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;20;3;;1;1900000;95;9522;7412;256
20260105;01;2026;8473910;1;1;1;60;;2;43.556829891;08;1;4111;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1800000;1;8000000;3;;1;;1;12;48;;;24;6;;1;2;;2;;2;;;;2;2;1;3;24;1;;8;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;2;2;2;;2;1;1;1;1;2;1;1;3;;20;8;;1;1800000;41;4111;7112;24
20260105;01;2026;8473910;1;2;1;60;;2;43.556829891;08;1;9602;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;200000;1;800000;3;;1;;1;12;6;2;;0;6;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;3;;30;5;;1;200000;96;9602;5142;12
20260105;01;2026;8473911;1;1;1;60;;2;30.793265227;08;1;3811;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;1;1;1;4;6;;;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;200000;1;2000000;3;;10;;2;12;36;2;;36;;;2;6;;2;;2;;;;2;2;1;36;36;4;;11;;2;;;;;;;;2;;;;1;2;1;2;2;2;1;1;2;2;;2;1;1;2;1;2;1;1;3;;5;8;;1;200000;38;3811;9612;48
20260105;01;2026;8473911;1;2;1;60;;2;30.793265227;08;1;3811;2;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;36;2;;36;;;2;6;;2;;2;;;;2;2;1;0;36;4;;9;;2;;;;;;;;2;;;;1;2;1;2;1;2;1;2;2;2;;2;1;1;2;1;2;1;1;3;;5;8;;1;;38;3811;9612;48
20260105;01;2026;8473912;1;1;1;60;;2;30.793265227;08;1;9329;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;150000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;130000;1;1750000;3;;1;;1;7;10;1;;6;6;;1;6;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;1;4;2;1;1;1;1;2;2;2;2;2;2;2;;1;1;1;2;1;2;2;1;3;;60;3;;1;130000;93;9329;3422;216
20260105;01;2026;8473912;1;2;1;60;;2;30.793265227;08;1;8121;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;1;6;;;40000;1;2;;1;30000;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;36000;1;500000;3;;3;;2;12;30;1;;30;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;;60;3;;1;36000;81;8121;9111;240
20260105;01;2026;8473914;1;1;1;60;;2;36.126821025;08;1;9602;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;120000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;80000;1;360000;3;;4;;1;6;10;2;;3;6;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;2;1;1;1;1;2;1;1;11;;60;3;;1;80000;96;9602;5142;6
20260105;01;2026;8473914;1;2;1;60;;2;36.126821025;08;1;4923;2;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;2;1;1;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;400000;1;4800000;3;;3;;2;12;50;;;50;;;2;4;;2;;2;;;;2;2;1;0;84;1;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;60;3;;1;400000;49;4923;8323;144
