PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260209;02;2026;8504104;1;2;1;70;;2;45.547661129;08;;1;8;4;;;;40;600000;1;1;1;6;1;3;2;2;;2;;9112;5131;56;5611
20260209;02;2026;8504104;1;3;1;70;;2;45.547661129;08;;1;8;1;;;;48;600000;2;;;;;;;2;;2;;5131;;;
20260209;02;2026;8504104;1;4;1;70;;2;45.547661129;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260209;02;2026;8504104;1;5;1;70;;2;45.547661129;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260209;02;2026;8504104;1;6;1;70;;2;45.547661129;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260209;02;2026;8504105;1;1;1;70;;2;41.483594232;08;;1;4;1;;;;44;1750000;1;1;1;8;1;9;2;2;;2;;5321;9112;86;8621
20260209;02;2026;8504105;1;4;1;70;;2;41.483594232;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260209;02;2026;8504109;1;2;1;70;;2;33.913733279;08;1;;;;;;;;;1;2;1;3;4;1;2;2;;2;;.;5244;47;4771
20260209;02;2026;8504112;1;4;1;70;;2;51.490621686;08;1;;;;;2;5;;600000;1;3;1;3;4;1;2;2;;2;;.;9111;81;8121
20260209;02;2026;8504113;1;1;1;70;;2;33.913733279;08;;1;52;1;;;;40;1500000;1;24;1;7;4;1;2;2;;2;;5223;5223;47;4759
20260209;02;2026;8504114;1;1;1;70;;2;38.198525407;08;1;;;;;2;5;;500000;1;60;1;3;3;1;2;2;;2;;.;9111;97;9700
20260209;02;2026;8504119;1;2;1;70;;2;49.312964903;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260209;02;2026;8504120;1;3;1;70;;2;41.350891005;08;1;;;;;;;;;1;24;1;3;3;2;2;2;;2;;.;9111;97;9700
