PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20260313;03;2026;8533530;1;1;1;10;;2;77.703012763;08;1;1;1;22;8;2003;1;2;;2;;1;;1;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;4;;;;2;1;1
20260313;03;2026;8533530;1;2;1;10;;2;77.703012763;08;1;2;2;18;9;2007;2;2;;2;;1;;1;6;;;1;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20260313;03;2026;8533530;1;3;1;10;;2;77.703012763;08;1;2;1;0;5;2025;3;1;2;1;1;1;;1;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20260313;03;2026;8533531;1;1;1;10;;2;81.12605795;08;1;1;2;47;8;1978;1;3;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20260313;03;2026;8533531;1;2;1;10;;2;81.12605795;08;1;2;1;47;4;1978;2;2;;3;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20260313;03;2026;8533531;1;3;1;10;;2;81.12605795;08;1;3;1;22;5;2003;3;1;1;1;2;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260313;03;2026;8533531;1;4;1;10;;2;81.12605795;08;1;4;1;20;3;2006;3;1;1;1;2;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20260313;03;2026;8533531;1;5;1;10;;2;81.12605795;08;1;1;2;10;5;2015;3;1;1;1;2;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;2;3;1;;;;;;
20260313;03;2026;8533532;1;1;1;10;;2;32.860690622;08;1;1;1;65;5;1960;1;2;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;2;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20260313;03;2026;8533532;1;2;1;10;;2;32.860690622;08;1;2;2;65;2;1961;2;3;;3;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
